"ts_code","trade_date","pre_close","pre_settle","open","high","low","close","settle","change1","change2","vol","amount","oi","oi_chg"
"ICL2.CFX","20230505","6168.4","6160.4","6168.4","6168.4","6070.8","6108","6099.8","-52.4","-60.6","7950","970187.164","92963",""
"ICL2.CFX","20230504","6172","6152.8","6152","6168.4","6137","6168.4","6160.4","15.6","7.6","4157","511762.808","90480",""
"ICL2.CFX","20230428","6083.4","6071","6077.4","6174.4","6077","6172","6152.8","101","81.8","5820","714013.388","90434",""
"ICL2.CFX","20230427","6046.8","6045.6","6035","6106.2","6033","6083.4","6071","37.8","25.4","6973","845532.7","91661",""
"ICL2.CFX","20230426","6018","6012.8","6000.2","6065.6","6000","6046.8","6045.6","34","32.8","6992","844799.548","91061",""
"ICL2.CFX","20230425","6098.2","6095.2","6100.8","6105.4","5951.8","6018","6012.8","-77.2","-82.4","10856","1308626.536","92214",""
"ICL2.CFX","20230424","6210.2","6158","6145.2","6152.4","6080","6098.2","6095.2","-59.8","-62.8","8956","1095629.604","90338",""
"ICL2.CFX","20230421","6358.6","6354.6","6355","6361.6","6210","6210.2","6228","-144.4","-126.6","23612","2965840.58","116294",""
"ICL2.CFX","20230420","6365","6364.8","6356","6365","6335.2","6358.6","6354.6","-6.2","-10.2","13722","1742404.036","111283",""
"ICL2.CFX","20230419","6391.2","6393.8","6384.2","6405","6350.6","6365","6364.8","-28.8","-29","13876","1770944.568","110321",""
"ICL2.CFX","20230418","6405.2","6403.4","6399.2","6405","6366.6","6391.2","6393.8","-12.2","-9.6","15112","1931140.128","109687",""
"ICL2.CFX","20230417","6372.2","6376.8","6367","6410","6360.4","6405.2","6403.4","28.4","26.6","13415","1715178.088","108637",""
"ICL2.CFX","20230414","6356.4","6359.6","6379.6","6397.8","6352.6","6372.2","6376.8","12.6","17.2","11939","1522727.46","107812",""
"ICL2.CFX","20230413","6381.8","6381.8","6368.2","6383.8","6343.8","6356.4","6359.6","-25.4","-22.2","12197","1552437.232","107472",""
"ICL2.CFX","20230412","6364.8","6361.6","6360.4","6387.6","6358.2","6381.8","6381.8","20.2","20.2","9108","1161496.504","106265",""
"ICL2.CFX","20230411","6367.2","6364.6","6369.8","6384.6","6346.8","6364.8","6361.6","0.2","-3","12038","1532113.38","107868",""
"ICL2.CFX","20230410","6396","6400","6406","6411","6353.6","6367.2","6364.6","-32.8","-35.4","13064","1666075.012","108515",""
"ICL2.CFX","20230407","6352","6353.6","6351.8","6412","6351.8","6396","6400","42.4","46.4","11937","1526282.78","109018",""
"ICL2.CFX","20230406","6359.2","6352.4","6340","6373","6340","6352","6353.6","-0.4","1.2","10639","1352432.804","108654",""
"ICL2.CFX","20230404","6350","6359.4","6350","6363.8","6329","6359.2","6352.4","-0.2","-7","12124","1539712.664","109626",""
"ICL2.CFX","20230403","6296.4","6290.2","6298.8","6377","6298.8","6350","6359.4","59.8","69.2","15524","1969597.464","111064",""
"ICL2.CFX","20230331","6252.6","6237.6","6259.2","6297.2","6245.2","6296.4","6290.2","58.8","52.6","12878","1616635.964","110682",""
"ICL2.CFX","20230330","6212.4","6219","6213.4","6252.6","6180.4","6252.6","6237.6","33.6","18.6","14098","1752334.192","111823",""
"ICL2.CFX","20230329","6237","6233.4","6252.6","6256.6","6200.6","6212.4","6219","-21","-14.4","11979","1490667.348","111198",""
"ICL2.CFX","20230328","6242.8","6246.4","6245.2","6263.4","6219","6237","6233.4","-9.4","-13","10986","1370932.912","110642",""
"ICL2.CFX","20230327","6253","6248","6243.6","6262.2","6210.4","6242.8","6246.4","-5.2","-1.6","10859","1355413.164","111001",""
"ICL2.CFX","20230324","6240.6","6236.6","6241","6255.8","6226","6253","6248","16.4","11.4","9599","1198499.348","110554",""
"ICL2.CFX","20230323","6205.8","6201.6","6200.4","6242.6","6190","6240.6","6236.6","39","35","10009","1244978.772","112010",""
"ICL2.CFX","20230322","6168","6166.4","6180","6211","6180","6205.8","6201.6","39.4","35.2","10367","1285265.984","111509",""
"ICL2.CFX","20230321","6107.6","6104","6129.8","6182.8","6122","6168","6166.4","64","62.4","11250","1385249.176","112311",""
"ICL2.CFX","20230320","6119","6118.8","6128.4","6148","6093.8","6107.6","6104","-11.2","-14.8","11990","1467568.528","112609",""
"ICL2.CFX","20230317","6073.4","6074.4","6108","6180.4","6098","6119","6118.8","44.6","44.4","19561","2400780.848","113849",""
"ICL2.CFX","20230316","6145","6138.6","6101","6133.4","6057.8","6073.4","6074.4","-65.2","-64.2","18657","2276180.708","113642",""
"ICL2.CFX","20230315","6114.2","6115","6140.2","6183.8","6127.8","6145","6138.6","30","23.6","20294","2498729.5","110541",""
"ICL2.CFX","20230314","6160.6","6147.6","6147","6162.6","6051.4","6114.2","6115","-33.4","-32.6","20338","2483753.704","109028",""
"ICL2.CFX","20230313","6127","6134","6130","6164.8","6101.2","6160.6","6147.6","26.6","13.6","18697","2294101.708","105390",""
"ICL2.CFX","20230310","6207.2","6206.4","6178","6188.6","6116","6127","6134","-79.4","-72.4","17700","2176035.404","102715",""
"ICL2.CFX","20230309","6218.4","6213.2","6218.4","6231.4","6173.2","6207.2","6206.4","-6","-6.8","12938","1605072.888","99443",""
"ICL2.CFX","20230308","6208","6226.4","6200.8","6235.4","6188","6218.4","6213.2","-8","-13.2","12560","1560802.348","98510",""
"ICL2.CFX","20230307","6295","6300","6292.4","6305","6208","6208","6226.4","-92","-73.6","16434","2057692.86","97895",""
"ICL2.CFX","20230306","6310.8","6309.8","6310.6","6328.8","6273.4","6295","6300","-14.8","-9.8","11445","1441892.716","94371",""
"ICL2.CFX","20230303","6318.4","6310.6","6327.2","6339","6268.4","6310.8","6309.8","0.2","-0.8","12965","1635292.116","94383",""
"ICL2.CFX","20230302","6320.4","6323","6319","6344.4","6296.6","6318.4","6310.6","-4.6","-12.4","10861","1371651.236","94132",""
"ICL2.CFX","20230301","6277.6","6269.4","6287.6","6342","6265","6320.4","6323","51","53.6","11637","1469454.776","92789",""
"ICL2.CFX","20230228","6235.4","6227","6255.8","6289.2","6209.8","6277.6","6269.4","50.6","42.4","11705","1464063.536","92873",""
"ICL2.CFX","20230227","6270","6255.2","6250","6263.6","6194.8","6235.4","6227","-19.8","-28.2","11073","1380254.512","93057",""
"ICL2.CFX","20230224","6285","6266.4","6282.6","6296.4","6220","6270","6255.2","3.6","-11.2","10188","1274529.22","92244",""
"ICL2.CFX","20230223","6297.6","6286.6","6297.6","6314.4","6237","6285","6266.4","-1.6","-20.2","10988","1379815.928","92685",""
"ICL2.CFX","20230222","6289.8","6285.8","6270","6318.8","6268.6","6297.6","6286.6","11.8","0.8","9902","1245514.236","92488",""
"ICL2.CFX","20230221","6259","6256.8","6269","6321.6","6256.2","6289.8","6285.8","33","29","11824","1487283.836","93638",""
"ICL2.CFX","20230220","6183.6","6191.8","6198","6269.4","6150.4","6259","6256.8","67.2","65","15264","1895037.508","95757",""
"ICL2.CFX","20230217","6228.8","6242.2","6220","6253.6","6167.8","6183.6","6191.8","-58.6","-50.4","12235","1519967.228","97178",""
"ICL2.CFX","20230216","6305.2","6298.4","6315","6361.8","6188.8","6228.8","6242.2","-69.6","-56.2","18110","2277311.9","98919",""
"ICL2.CFX","20230215","6315.8","6309.2","6315.8","6332","6280.4","6305.2","6298.4","-4","-10.8","8061","1016114.62","95563",""
"ICL2.CFX","20230214","6294.8","6300.8","6305.8","6334.6","6289","6315.8","6309.2","15","8.4","6005","757873.088","94706",""
"ICL2.CFX","20230213","6277.6","6271.8","6265.8","6324.6","6259","6294.8","6300.8","23","29","7129","898542.332","95004",""
"ICL2.CFX","20230210","6305.6","6302.4","6300","6309.6","6225.2","6277.6","6271.8","-24.8","-30.6","8798","1102980.916","96484",""
"ICL2.CFX","20230209","6212.4","6209.2","6197.8","6309.8","6193.2","6305.6","6302.4","96.4","93.2","8537","1070357.368","96873",""
"ICL2.CFX","20230208","6255.4","6241.4","6260","6262.8","6191.2","6212.4","6209.2","-29","-32.2","7588","944796.336","97159",""
"ICL2.CFX","20230207","6249.4","6242.2","6255.2","6265.4","6201.4","6255.4","6241.4","13.2","-0.8","7262","905722.204","96298",""
"ICL2.CFX","20230206","6276.8","6277.6","6240","6264.6","6206.6","6249.4","6242.2","-28.2","-35.4","7948","990802.632","96595",""
"ICL2.CFX","20230203","6306","6308.8","6290","6295","6208","6276.8","6277.6","-32","-31.2","10271","1283653.06","97550",""
"ICL2.CFX","20230202","6295","6295","6304.2","6344","6279","6306","6308.8","11","13.8","8780","1108648.368","96393",""
"ICL2.CFX","20230201","6239","6240.4","6250","6309.4","6235","6295","6295","54.6","54.6","8561","1074550.54","97704",""
"ICL2.CFX","20230131","6210","6219.6","6200","6255.6","6200","6239","6240.4","19.4","20.8","8653","1079117.64","97702",""
